Province/State,Date,Confirmed,Deaths,Recovered,Active
Москва,2020-03-22,191,0,8,183
Москва,2020-03-23,262,0,9,253
Москва,2020-03-24,290,0,9,281
Москва,2020-03-25,410,0,14,396
Москва,2020-03-26,546,2,15,529
Москва,2020-03-27,703,3,18,682
Москва,2020-03-28,817,4,18,795
Москва,2020-03-29,1014,6,28,980
Москва,2020-03-30,1226,6,28,1192
Москва,2020-03-31,1613,11,70,1532
Москва,2020-04-01,1880,16,115,1749
Москва,2020-04-02,2475,19,140,2316
Москва,2020-04-03,2923,20,168,2735
Москва,2020-04-04,3357,27,194,3136
Москва,2020-04-05,3893,29,198,3666
Москва,2020-04-06,4484,29,206,4249
Москва,2020-04-07,5181,31,222,4928
Москва,2020-04-08,5841,31,270,5540
Москва,2020-04-09,6698,38,313,6347
Москва,2020-04-10,7822,50,350,7422
Москва,2020-04-11,8852,58,499,8295
Москва,2020-04-12,10158,72,687,9399
Москва,2020-04-13,11513,82,837,10594
Москва,2020-04-14,13002,95,1016,11891
Москва,2020-04-15,14776,106,1205,13465
Москва,2020-04-16,16146,113,1394,14639
Москва,2020-04-17,18105,127,1517,16461
Московская область,2020-03-22,35,0,1,34
Московская область,2020-03-23,35,0,1,34
Московская область,2020-03-24,35,0,2,33
Московская область,2020-03-25,41,0,2,39
Московская область,2020-03-26,41,0,7,34
Московская область,2020-03-27,49,0,8,41
Московская область,2020-03-28,85,0,8,77
Московская область,2020-03-29,112,0,10,102
Московская область,2020-03-30,119,0,10,109
Московская область,2020-03-31,119,0,14,105
Московская область,2020-04-01,134,1,17,116
Московская область,2020-04-02,177,2,17,158
Московская область,2020-04-03,211,2,17,192
Московская область,2020-04-04,260,2,30,228
Московская область,2020-04-05,305,2,33,270
Московская область,2020-04-06,387,3,34,350
Московская область,2020-04-07,454,8,47,399
Московская область,2020-04-08,549,10,50,489
Московская область,2020-04-09,748,13,52,683
Московская область,2020-04-10,930,13,66,851
Московская область,2020-04-11,1082,14,69,999
Московская область,2020-04-12,1360,18,75,1267
Московская область,2020-04-13,1855,19,75,1761
Московская область,2020-04-14,2315,24,75,2216
Московская область,2020-04-15,2587,26,75,2486
Московская область,2020-04-16,3054,33,91,2930
Московская область,2020-04-17,3526,40,105,3381
Санкт-Петербург,2020-03-22,16,0,2,14
Санкт-Петербург,2020-03-23,16,0,2,14
Санкт-Петербург,2020-03-24,21,0,2,19
Санкт-Петербург,2020-03-25,21,0,2,19
Санкт-Петербург,2020-03-26,26,0,5,21
Санкт-Петербург,2020-03-27,26,0,5,21
Санкт-Петербург,2020-03-28,37,0,5,32
Санкт-Петербург,2020-03-29,42,1,5,36
Санкт-Петербург,2020-03-30,50,1,5,44
Санкт-Петербург,2020-03-31,98,2,7,89
Санкт-Петербург,2020-04-01,125,2,7,116
Санкт-Петербург,2020-04-02,147,2,7,138
Санкт-Петербург,2020-04-03,156,2,7,147
Санкт-Петербург,2020-04-04,171,2,7,162
Санкт-Петербург,2020-04-05,191,2,7,182
Санкт-Петербург,2020-04-06,226,2,32,192
Санкт-Петербург,2020-04-07,295,2,32,261
Санкт-Петербург,2020-04-08,329,2,32,295
Санкт-Петербург,2020-04-09,373,4,43,326
Санкт-Петербург,2020-04-10,408,4,43,361
Санкт-Петербург,2020-04-11,488,4,74,410
Санкт-Петербург,2020-04-12,557,4,74,479
Санкт-Петербург,2020-04-13,678,4,78,596
Санкт-Петербург,2020-04-14,799,4,78,717
Санкт-Петербург,2020-04-15,929,5,95,829
Санкт-Петербург,2020-04-16,1083,7,110,966
Санкт-Петербург,2020-04-17,1507,7,131,1369
Свердловская область,2020-03-22,9,0,0,9
Свердловская область,2020-03-23,9,0,0,9
Свердловская область,2020-03-24,13,0,0,13
Свердловская область,2020-03-25,13,0,0,13
Свердловская область,2020-03-26,20,0,0,20
Свердловская область,2020-03-27,20,0,0,20
Свердловская область,2020-03-28,24,0,0,24
Свердловская область,2020-03-29,24,0,1,23
Свердловская область,2020-03-30,24,0,1,23
Свердловская область,2020-03-31,33,0,1,32
Свердловская область,2020-04-01,33,0,1,32
Свердловская область,2020-04-02,38,0,8,30
Свердловская область,2020-04-03,39,0,8,31
Свердловская область,2020-04-04,40,0,13,27
Свердловская область,2020-04-05,40,0,13,27
Свердловская область,2020-04-06,44,0,13,31
Свердловская область,2020-04-07,51,0,22,29
Свердловская область,2020-04-08,56,0,25,31
Свердловская область,2020-04-09,59,0,25,34
Свердловская область,2020-04-10,61,0,25,36
Свердловская область,2020-04-11,74,0,32,42
Свердловская область,2020-04-12,78,0,35,43
Свердловская область,2020-04-13,85,0,35,50
Свердловская область,2020-04-14,93,0,37,56
Свердловская область,2020-04-15,105,0,37,68
Свердловская область,2020-04-16,111,0,44,67
Свердловская область,2020-04-17,115,0,47,68
Самарская область,2020-03-22,9,0,0,9
Самарская область,2020-03-23,9,0,0,9
Самарская область,2020-03-24,10,0,0,10
Самарская область,2020-03-25,10,0,0,10
Самарская область,2020-03-26,12,0,0,12
Самарская область,2020-03-27,14,0,0,14
Самарская область,2020-03-28,14,0,1,13
Самарская область,2020-03-29,14,0,1,13
Самарская область,2020-03-30,14,0,1,13
Самарская область,2020-03-31,15,0,1,14
Самарская область,2020-04-01,15,0,2,13
Самарская область,2020-04-02,17,0,2,15
Самарская область,2020-04-03,17,0,7,10
Самарская область,2020-04-04,17,0,7,10
Самарская область,2020-04-05,17,0,8,9
Самарская область,2020-04-06,17,0,9,8
Самарская область,2020-04-07,17,0,9,8
Самарская область,2020-04-08,18,0,9,9
Самарская область,2020-04-09,18,0,10,8
Самарская область,2020-04-10,20,0,11,9
Самарская область,2020-04-11,21,0,14,7
Самарская область,2020-04-12,24,0,14,10
Самарская область,2020-04-13,29,0,14,15
Самарская область,2020-04-14,40,0,14,26
Самарская область,2020-04-15,40,0,14,26
Самарская область,2020-04-16,50,0,14,36
Самарская область,2020-04-17,63,0,14,49
Республика Саха (Якутия),2020-03-22,7,0,0,7
Республика Саха (Якутия),2020-03-23,7,0,0,7
Республика Саха (Якутия),2020-03-24,7,0,0,7
Республика Саха (Якутия),2020-03-25,10,0,0,10
Республика Саха (Якутия),2020-03-26,14,0,0,14
Республика Саха (Якутия),2020-03-27,14,0,0,14
Республика Саха (Якутия),2020-03-28,14,0,0,14
Республика Саха (Якутия),2020-03-29,15,0,0,15
Республика Саха (Якутия),2020-03-30,15,0,0,15
Республика Саха (Якутия),2020-03-31,15,0,0,15
Республика Саха (Якутия),2020-04-01,15,0,1,14
Республика Саха (Якутия),2020-04-02,15,0,4,11
Республика Саха (Якутия),2020-04-03,15,0,4,11
Республика Саха (Якутия),2020-04-04,15,0,4,11
Республика Саха (Якутия),2020-04-05,15,0,4,11
Республика Саха (Якутия),2020-04-06,15,0,4,11
Республика Саха (Якутия),2020-04-07,15,0,7,8
Республика Саха (Якутия),2020-04-08,16,0,7,9
Республика Саха (Якутия),2020-04-09,16,0,8,8
Республика Саха (Якутия),2020-04-10,16,0,10,6
Республика Саха (Якутия),2020-04-11,19,0,13,6
Республика Саха (Якутия),2020-04-12,22,0,13,9
Республика Саха (Якутия),2020-04-13,25,0,13,12
Республика Саха (Якутия),2020-04-14,26,0,13,13
Республика Саха (Якутия),2020-04-15,33,0,15,18
Республика Саха (Якутия),2020-04-16,35,0,15,20
Республика Саха (Якутия),2020-04-17,38,0,15,23
Нижегородская область,2020-03-22,7,0,0,7
Нижегородская область,2020-03-23,7,0,0,7
Нижегородская область,2020-03-24,7,0,0,7
Нижегородская область,2020-03-25,8,0,1,7
Нижегородская область,2020-03-26,8,0,1,7
Нижегородская область,2020-03-27,8,0,1,7
Нижегородская область,2020-03-28,11,0,1,10
Нижегородская область,2020-03-29,11,0,1,10
Нижегородская область,2020-03-30,11,0,1,10
Нижегородская область,2020-03-31,12,0,1,11
Нижегородская область,2020-04-01,12,0,1,11
Нижегородская область,2020-04-02,25,0,1,24
Нижегородская область,2020-04-03,25,0,1,24
Нижегородская область,2020-04-04,25,0,1,24
Нижегородская область,2020-04-05,47,0,1,46
Нижегородская область,2020-04-06,56,0,4,52
Нижегородская область,2020-04-07,56,0,8,48
Нижегородская область,2020-04-08,80,0,13,67
Нижегородская область,2020-04-09,87,0,13,74
Нижегородская область,2020-04-10,119,1,14,104
Нижегородская область,2020-04-11,152,1,14,137
Нижегородская область,2020-04-12,194,1,14,179
Нижегородская область,2020-04-13,224,4,20,200
Нижегородская область,2020-04-14,292,4,20,268
Нижегородская область,2020-04-15,339,4,21,314
Нижегородская область,2020-04-16,404,4,21,379
Нижегородская область,2020-04-17,458,4,21,433
Кировская область,2020-03-22,7,0,0,7
Кировская область,2020-03-23,7,0,0,7
Кировская область,2020-03-24,7,0,0,7
Кировская область,2020-03-25,7,0,0,7
Кировская область,2020-03-26,7,0,0,7
Кировская область,2020-03-27,8,0,2,6
Кировская область,2020-03-28,8,0,2,6
Кировская область,2020-03-29,9,0,2,7
Кировская область,2020-03-30,12,0,2,10
Кировская область,2020-03-31,12,0,3,9
Кировская область,2020-04-01,12,0,3,9
Кировская область,2020-04-02,12,0,3,9
Кировская область,2020-04-03,15,0,3,12
Кировская область,2020-04-04,18,0,3,15
Кировская область,2020-04-05,18,0,3,15
Кировская область,2020-04-06,18,0,3,15
Кировская область,2020-04-07,20,0,7,13
Кировская область,2020-04-08,20,0,7,13
Кировская область,2020-04-09,28,0,8,20
Кировская область,2020-04-10,29,0,8,21
Кировская область,2020-04-11,35,0,9,26
Кировская область,2020-04-12,36,0,9,27
Кировская область,2020-04-13,51,0,9,42
Кировская область,2020-04-14,51,0,9,42
Кировская область,2020-04-15,64,0,9,55
Кировская область,2020-04-16,73,0,9,64
Кировская область,2020-04-17,91,2,10,79
Калининградская область,2020-03-22,7,0,0,7
Калининградская область,2020-03-23,7,0,0,7
Калининградская область,2020-03-24,7,0,0,7
Калининградская область,2020-03-25,8,0,1,7
Калининградская область,2020-03-26,8,0,1,7
Калининградская область,2020-03-27,8,0,1,7
Калининградская область,2020-03-28,11,0,1,10
Калининградская область,2020-03-29,11,0,1,10
Калининградская область,2020-03-30,12,0,2,10
Калининградская область,2020-03-31,12,0,2,10
Калининградская область,2020-04-01,12,0,5,7
Калининградская область,2020-04-02,19,0,5,14
Калининградская область,2020-04-03,19,0,5,14
Калининградская область,2020-04-04,19,0,5,14
Калининградская область,2020-04-05,19,0,5,14
Калининградская область,2020-04-06,19,0,5,14
Калининградская область,2020-04-07,48,0,8,40
Калининградская область,2020-04-08,49,0,9,40
Калининградская область,2020-04-09,52,0,9,43
Калининградская область,2020-04-10,62,0,9,53
Калининградская область,2020-04-11,65,1,12,52
Калининградская область,2020-04-12,70,1,16,53
Калининградская область,2020-04-13,74,1,16,57
Калининградская область,2020-04-14,79,1,16,62
Калининградская область,2020-04-15,84,1,24,59
Калининградская область,2020-04-16,92,1,26,65
Калининградская область,2020-04-17,104,1,28,75
Республика Татарстан,2020-03-22,6,0,0,6
Республика Татарстан,2020-03-23,6,0,0,6
Республика Татарстан,2020-03-24,7,0,0,7
Республика Татарстан,2020-03-25,7,0,0,7
Республика Татарстан,2020-03-26,10,0,0,10
Республика Татарстан,2020-03-27,11,0,1,10
Республика Татарстан,2020-03-28,14,0,1,13
Республика Татарстан,2020-03-29,14,0,1,13
Республика Татарстан,2020-03-30,14,0,1,13
Республика Татарстан,2020-03-31,19,0,1,18
Республика Татарстан,2020-04-01,19,0,2,17
Республика Татарстан,2020-04-02,19,0,2,17
Республика Татарстан,2020-04-03,25,0,6,19
Республика Татарстан,2020-04-04,25,0,6,19
Республика Татарстан,2020-04-05,25,0,6,19
Республика Татарстан,2020-04-06,41,0,6,35
Республика Татарстан,2020-04-07,41,0,8,33
Республика Татарстан,2020-04-08,41,0,10,31
Республика Татарстан,2020-04-09,50,0,10,40
Республика Татарстан,2020-04-10,50,0,11,39
Республика Татарстан,2020-04-11,73,0,11,62
Республика Татарстан,2020-04-12,73,0,14,59
Республика Татарстан,2020-04-13,84,0,14,70
Республика Татарстан,2020-04-14,107,0,14,93
Республика Татарстан,2020-04-15,107,0,14,93
Республика Татарстан,2020-04-16,128,0,14,114
Республика Татарстан,2020-04-17,144,0,18,126
Тульская область,2020-03-22,5,0,0,5
Тульская область,2020-03-23,5,0,0,5
Тульская область,2020-03-24,5,0,0,5
Тульская область,2020-03-25,7,0,0,7
Тульская область,2020-03-26,7,0,0,7
Тульская область,2020-03-27,8,0,0,8
Тульская область,2020-03-28,11,0,0,11
Тульская область,2020-03-29,11,0,0,11
Тульская область,2020-03-30,12,0,0,12
Тульская область,2020-03-31,12,0,0,12
Тульская область,2020-04-01,17,0,3,14
Тульская область,2020-04-02,17,0,3,14
Тульская область,2020-04-03,17,0,3,14
Тульская область,2020-04-04,19,0,3,16
Тульская область,2020-04-05,29,0,3,26
Тульская область,2020-04-06,39,0,4,35
Тульская область,2020-04-07,49,0,4,45
Тульская область,2020-04-08,54,0,4,50
Тульская область,2020-04-09,66,0,6,60
Тульская область,2020-04-10,71,0,7,64
Тульская область,2020-04-11,71,0,9,62
Тульская область,2020-04-12,74,0,9,65
Тульская область,2020-04-13,85,0,13,72
Тульская область,2020-04-14,85,0,13,72
Тульская область,2020-04-15,130,0,17,113
Тульская область,2020-04-16,174,0,19,155
Тульская область,2020-04-17,199,0,24,175
Красноярский край,2020-03-22,5,0,0,5
Красноярский край,2020-03-23,5,0,0,5
Красноярский край,2020-03-24,5,0,3,2
Красноярский край,2020-03-25,5,0,3,2
Красноярский край,2020-03-26,8,0,3,5
Красноярский край,2020-03-27,8,0,3,5
Красноярский край,2020-03-28,12,0,3,9
Красноярский край,2020-03-29,12,0,3,9
Красноярский край,2020-03-30,14,0,3,11
Красноярский край,2020-03-31,14,0,4,10
Красноярский край,2020-04-01,20,0,4,16
Красноярский край,2020-04-02,25,0,4,21
Красноярский край,2020-04-03,25,0,4,21
Красноярский край,2020-04-04,25,0,4,21
Красноярский край,2020-04-05,29,0,4,25
Красноярский край,2020-04-06,32,0,5,27
Красноярский край,2020-04-07,32,0,5,27
Красноярский край,2020-04-08,39,0,6,33
Красноярский край,2020-04-09,39,0,8,31
Красноярский край,2020-04-10,39,0,8,31
Красноярский край,2020-04-11,60,0,8,52
Красноярский край,2020-04-12,85,0,8,77
Красноярский край,2020-04-13,110,0,8,102
Красноярский край,2020-04-14,131,0,17,114
Красноярский край,2020-04-15,142,0,17,125
Красноярский край,2020-04-16,202,0,17,185
Красноярский край,2020-04-17,231,0,17,214
Краснодарский край,2020-03-22,5,0,0,5
Краснодарский край,2020-03-23,5,0,0,5
Краснодарский край,2020-03-24,5,0,0,5
Краснодарский край,2020-03-25,9,0,0,9
Краснодарский край,2020-03-26,9,0,0,9
Краснодарский край,2020-03-27,9,0,0,9
Краснодарский край,2020-03-28,17,0,0,17
Краснодарский край,2020-03-29,17,0,1,16
Краснодарский край,2020-03-30,17,0,1,16
Краснодарский край,2020-03-31,17,0,2,15
Краснодарский край,2020-04-01,22,0,3,19
Краснодарский край,2020-04-02,22,0,4,18
Краснодарский край,2020-04-03,39,0,4,35
Краснодарский край,2020-04-04,39,0,4,35
Краснодарский край,2020-04-05,39,0,4,35
Краснодарский край,2020-04-06,50,0,8,42
Краснодарский край,2020-04-07,61,1,9,51
Краснодарский край,2020-04-08,85,1,15,69
Краснодарский край,2020-04-09,105,1,15,89
Краснодарский край,2020-04-10,125,3,15,107
Краснодарский край,2020-04-11,138,3,25,110
Краснодарский край,2020-04-12,169,3,25,141
Краснодарский край,2020-04-13,210,3,28,179
Краснодарский край,2020-04-14,215,3,32,180
Краснодарский край,2020-04-15,239,3,40,196
Краснодарский край,2020-04-16,260,3,40,217
Краснодарский край,2020-04-17,290,3,48,239
Новосибирская область,2020-03-22,4,0,0,4
Новосибирская область,2020-03-23,4,0,0,4
Новосибирская область,2020-03-24,4,0,0,4
Новосибирская область,2020-03-25,4,0,0,4
Новосибирская область,2020-03-26,5,0,0,5
Новосибирская область,2020-03-27,5,0,0,5
Новосибирская область,2020-03-28,7,0,0,7
Новосибирская область,2020-03-29,8,0,0,8
Новосибирская область,2020-03-30,9,0,0,9
Новосибирская область,2020-03-31,9,0,0,9
Новосибирская область,2020-04-01,10,0,2,8
Новосибирская область,2020-04-02,10,0,2,8
Новосибирская область,2020-04-03,10,0,2,8
Новосибирская область,2020-04-04,10,0,2,8
Новосибирская область,2020-04-05,11,0,2,9
Новосибирская область,2020-04-06,11,0,2,9
Новосибирская область,2020-04-07,11,0,2,9
Новосибирская область,2020-04-08,13,0,2,11
Новосибирская область,2020-04-09,18,0,2,16
Новосибирская область,2020-04-10,21,0,8,13
Новосибирская область,2020-04-11,28,0,10,18
Новосибирская область,2020-04-12,28,0,10,18
Новосибирская область,2020-04-13,36,0,10,26
Новосибирская область,2020-04-14,36,0,10,26
Новосибирская область,2020-04-15,53,0,11,42
Новосибирская область,2020-04-16,64,1,14,49
Новосибирская область,2020-04-17,76,2,14,60
Хабаровский край,2020-03-22,4,0,0,4
Хабаровский край,2020-03-23,4,0,0,4
Хабаровский край,2020-03-24,4,0,0,4
Хабаровский край,2020-03-25,4,0,0,4
Хабаровский край,2020-03-26,5,0,0,5
Хабаровский край,2020-03-27,5,0,0,5
Хабаровский край,2020-03-28,5,0,0,5
Хабаровский край,2020-03-29,7,0,0,7
Хабаровский край,2020-03-30,7,0,0,7
Хабаровский край,2020-03-31,8,0,0,8
Хабаровский край,2020-04-01,9,0,0,9
Хабаровский край,2020-04-02,9,0,0,9
Хабаровский край,2020-04-03,10,0,0,10
Хабаровский край,2020-04-04,10,0,0,10
Хабаровский край,2020-04-05,11,0,0,11
Хабаровский край,2020-04-06,11,0,0,11
Хабаровский край,2020-04-07,16,0,0,16
Хабаровский край,2020-04-08,24,1,0,23
Хабаровский край,2020-04-09,24,1,3,20
Хабаровский край,2020-04-10,28,1,6,21
Хабаровский край,2020-04-11,29,2,7,20
Хабаровский край,2020-04-12,29,2,7,20
Хабаровский край,2020-04-13,54,2,7,45
Хабаровский край,2020-04-14,54,2,7,45
Хабаровский край,2020-04-15,77,2,7,68
Хабаровский край,2020-04-16,91,2,7,82
Хабаровский край,2020-04-17,109,3,9,97
Тюменская область,2020-03-22,3,0,1,2
Тюменская область,2020-03-23,3,0,1,2
Тюменская область,2020-03-24,3,0,1,2
Тюменская область,2020-03-25,3,0,1,2
Тюменская область,2020-03-26,3,0,1,2
Тюменская область,2020-03-27,3,0,1,2
Тюменская область,2020-03-28,3,0,1,2
Тюменская область,2020-03-29,4,0,1,3
Тюменская область,2020-03-30,4,0,1,3
Тюменская область,2020-03-31,6,0,1,5
Тюменская область,2020-04-01,6,0,2,4
Тюменская область,2020-04-02,6,0,2,4
Тюменская область,2020-04-03,11,0,2,9
Тюменская область,2020-04-04,11,0,2,9
Тюменская область,2020-04-05,11,0,2,9
Тюменская область,2020-04-06,11,0,2,9
Тюменская область,2020-04-07,18,0,2,16
Тюменская область,2020-04-08,18,0,2,16
Тюменская область,2020-04-09,19,0,2,17
Тюменская область,2020-04-10,22,0,4,18
Тюменская область,2020-04-11,30,0,4,26
Тюменская область,2020-04-12,39,0,8,31
Тюменская область,2020-04-13,53,0,9,44
Тюменская область,2020-04-14,67,0,9,58
Тюменская область,2020-04-15,85,1,10,74
Тюменская область,2020-04-16,112,1,10,101
Тюменская область,2020-04-17,146,2,10,134
Тамбовская область,2020-03-22,3,0,0,3
Тамбовская область,2020-03-23,3,0,0,3
Тамбовская область,2020-03-24,3,0,0,3
Тамбовская область,2020-03-25,3,0,0,3
Тамбовская область,2020-03-26,3,0,0,3
Тамбовская область,2020-03-27,3,0,0,3
Тамбовская область,2020-03-28,3,0,0,3
Тамбовская область,2020-03-29,3,0,0,3
Тамбовская область,2020-03-30,3,0,0,3
Тамбовская область,2020-03-31,3,0,0,3
Тамбовская область,2020-04-01,6,0,0,6
Тамбовская область,2020-04-02,6,0,0,6
Тамбовская область,2020-04-03,6,0,0,6
Тамбовская область,2020-04-04,7,0,0,7
Тамбовская область,2020-04-05,7,0,2,5
Тамбовская область,2020-04-06,15,0,2,13
Тамбовская область,2020-04-07,15,0,3,12
Тамбовская область,2020-04-08,21,0,3,18
Тамбовская область,2020-04-09,21,0,3,18
Тамбовская область,2020-04-10,33,0,3,30
Тамбовская область,2020-04-11,33,0,6,27
Тамбовская область,2020-04-12,48,0,6,42
Тамбовская область,2020-04-13,48,0,6,42
Тамбовская область,2020-04-14,83,0,6,77
Тамбовская область,2020-04-15,83,0,6,77
Тамбовская область,2020-04-16,133,0,6,127
Тамбовская область,2020-04-17,133,0,8,125
Пермский край,2020-03-22,3,0,0,3
Пермский край,2020-03-23,3,0,0,3
Пермский край,2020-03-24,3,0,0,3
Пермский край,2020-03-25,5,0,0,5
Пермский край,2020-03-26,10,0,0,10
Пермский край,2020-03-27,10,0,0,10
Пермский край,2020-03-28,11,0,0,11
Пермский край,2020-03-29,11,0,0,11
Пермский край,2020-03-30,13,0,0,13
Пермский край,2020-03-31,13,0,0,13
Пермский край,2020-04-01,13,0,0,13
Пермский край,2020-04-02,20,1,1,18
Пермский край,2020-04-03,21,2,3,16
Пермский край,2020-04-04,21,2,3,16
Пермский край,2020-04-05,21,2,3,16
Пермский край,2020-04-06,21,2,3,16
Пермский край,2020-04-07,32,2,5,25
Пермский край,2020-04-08,32,2,6,24
Пермский край,2020-04-09,41,3,6,32
Пермский край,2020-04-10,45,3,6,36
Пермский край,2020-04-11,45,3,15,27
Пермский край,2020-04-12,60,3,15,42
Пермский край,2020-04-13,60,3,15,42
Пермский край,2020-04-14,87,3,16,68
Пермский край,2020-04-15,114,3,16,95
Пермский край,2020-04-16,132,3,19,110
Пермский край,2020-04-17,144,3,19,122
Липецкая область,2020-03-22,3,0,3,0
Липецкая область,2020-03-23,3,0,3,0
